layer,research_code,parent_research_code,name_ar,name_fr,latitude,longitude,source_locator,existing_entity_id
governorate,11,,تونس,Tunis,36.832653,10.241235,ADM2 row / research governorate code 11,ENT-TN-GOVERNORATE-DB8D5C457676
governorate,12,,اريانة,Ariana,36.899487,10.138065,ADM2 row / research governorate code 12,ENT-TN-GOVERNORATE-78D6D85AF6A0
governorate,13,,بن عروس,Ben Arous,36.69982,10.254932,ADM2 row / research governorate code 13,ENT-TN-GOVERNORATE-D5ED89886664
governorate,14,,منوبة,Mannouba,36.784791,9.95672,ADM2 row / research governorate code 14,ENT-TN-GOVERNORATE-CC06DF550344
governorate,15,,نابل,Nabeul,36.680575,10.740648,ADM2 row / research governorate code 15,ENT-TN-GOVERNORATE-EA30E853F598
governorate,16,,زغوان,Zaghouan,36.33634,10.032114,ADM2 row / research governorate code 16,ENT-TN-GOVERNORATE-81845FB6BE40
governorate,17,,بنزرت,Bizerte,37.13699,9.805756,ADM2 row / research governorate code 17,ENT-TN-GOVERNORATE-B1787F907937
governorate,21,,باجة,Beja,36.682836,9.277187,ADM2 row / research governorate code 21,ENT-TN-GOVERNORATE-EA2D44B4F25E
governorate,22,,جندوبة,Jendouba,36.648316,8.698013,ADM2 row / research governorate code 22,ENT-TN-GOVERNORATE-7A4D0C3A889C
governorate,23,,الكاف,Kef,36.034355,8.709834,ADM2 row / research governorate code 23,ENT-TN-GOVERNORATE-0D738EAC753C
governorate,24,,سليانة,Siliana,36.040285,9.329112,ADM2 row / research governorate code 24,ENT-TN-GOVERNORATE-A460B4F223EB
governorate,31,,سوسة,Sousse,35.894163,10.480603,ADM2 row / research governorate code 31,ENT-TN-GOVERNORATE-07DB5E6D265C
governorate,32,,المنستير,Monastir,35.619914,10.801408,ADM2 row / research governorate code 32,ENT-TN-GOVERNORATE-5BC9A7217C8C
governorate,33,,المهدية,Mahdia,35.351605,10.751349,ADM2 row / research governorate code 33,ENT-TN-GOVERNORATE-E7D96FEF5043
governorate,34,,صفاقس,Sfax,34.807444,10.609379,ADM2 row / research governorate code 34,ENT-TN-GOVERNORATE-97D2B1489F90
governorate,41,,القيروان,Kairouan,35.552088,9.863077,ADM2 row / research governorate code 41,ENT-TN-GOVERNORATE-D28A09D558AD
governorate,42,,القصرين,Kasserine,35.256676,8.815693,ADM2 row / research governorate code 42,ENT-TN-GOVERNORATE-36E4260B310C
governorate,43,,سيدي بوزيد,Sidi Bouzid,34.932564,9.493733,ADM2 row / research governorate code 43,ENT-TN-GOVERNORATE-47F772AA4A84
governorate,51,,قابس,Gabes,33.797906,9.978276,ADM2 row / research governorate code 51,ENT-TN-GOVERNORATE-DF747014232C
governorate,52,,مدنين,Medenine,33.4927,10.763731,ADM2 row / research governorate code 52,ENT-TN-GOVERNORATE-902616FE3988
governorate,53,,تطاوين,Tataouine,32.595468,10.394314,ADM2 row / research governorate code 53,ENT-TN-GOVERNORATE-DAC2A2592975
governorate,61,,قفصة,Gafsa,34.431567,8.769905,ADM2 row / research governorate code 61,ENT-TN-GOVERNORATE-467CAA2B1928
governorate,62,,توزر,Tozeur,33.970385,8.023509,ADM2 row / research governorate code 62,ENT-TN-GOVERNORATE-D7972CC63F7E
governorate,63,,قبلي,Kebeli,33.544451,8.867688,ADM2 row / research governorate code 63,ENT-TN-GOVERNORATE-1864AE41D5B4
delegation,1151,11,قرطاج,Carthage,36.860024,10.329451,ADM3 row / dated 264-delegation research code 1151,ENT-TN-DELEGATION-CEF958458571
delegation,1152,11,تونس المدينة,La Medina,36.798117,10.169436,ADM3 row / dated 264-delegation research code 1152,ENT-TN-DELEGATION-CC12560912DD
delegation,1153,11,باب بحر,Bab El Bhar,36.798999,10.195694,ADM3 row / dated 264-delegation research code 1153,ENT-TN-DELEGATION-FE7ADA16AB50
delegation,1154,11,باب سويقة,Bab Souika,36.806278,10.162247,ADM3 row / dated 264-delegation research code 1154,ENT-TN-DELEGATION-22BE73F7EFB2
delegation,1155,11,العمران,El Omrane,36.820083,10.156771,ADM3 row / dated 264-delegation research code 1155,ENT-TN-DELEGATION-6027493801C5
delegation,1156,11,العمران الاعلي,El Omrane Supérieur,36.835248,10.130097,ADM3 row / dated 264-delegation research code 1156,ENT-TN-DELEGATION-F68992D7EA16
delegation,1157,11,التحرير,Ettahrir,36.825929,10.126654,ADM3 row / dated 264-delegation research code 1157,ENT-TN-DELEGATION-5C87693EF7C1
delegation,1158,11,المنزه,El Menzah,36.838062,10.157399,ADM3 row / dated 264-delegation research code 1158,ENT-TN-DELEGATION-B426671C7506
delegation,1159,11,حي الخضراء,Cité El Khadhra,36.830509,10.222489,ADM3 row / dated 264-delegation research code 1159,ENT-TN-DELEGATION-0B11B353C556
delegation,1160,11,باردو,Le Bardo,36.810565,10.130842,ADM3 row / dated 264-delegation research code 1160,ENT-TN-DELEGATION-93C5837DFCBF
