research_sector_code,research_mun_uid,delegation_2014_code,delegation_2018_code
34571269,229,3457,3457
34571276,229,3457,3457
34571273,229,3457,3457
34571275,229,3457,3457
34571272,229,3457,3457
34571271,229,3457,3457
34571274,229,3457,3457
34571270,229,3457,3457
1171149,6,1171,1171
1171154,6,1171,1171
1171157,6,1171,1171
1171158,6,1171,1171
1171151,6,1171,1171
1171155,6,1171,1171
1171153,6,1171,1171
1171156,6,1171,1171
1171152,6,1171,1171
1171150,6,1171,1171
1170142,5,1170,1170
1170143,5,1170,1170
1170148,5,1170,1170
1170146,5,1170,1170
1170147,5,1170,1170
1170145,5,1170,1170
1170144,5,1170,1170
63512029,343,6351,6351
63512028,343,6351,6351
63562065,342,6356,96357
63562064,342,6356,96357
63522043,350,6352,6352
63512032,346,6351,6351
63512031,346,6351,6351
63512030,346,6351,6351
63512033,346,6351,6351
63532048,345,6353,6353
63532049,345,6353,6353
63532050,345,6353,6353
1451284,34,1451,1451
1451283,34,1451,1451
1451287,32,1451,1451
1451285,32,1451,1451
1451282,34,1451,1451
1452290,38,1452,1452
1452292,38,1452,1452
1452291,38,1452,1452
1452289,38,1452,1452
1452288,38,1452,1452
1453297,37,1453,1453
63562062,347,6356,6356
63562060,347,6356,6356
63562061,347,6356,6356
63562063,347,6356,6356
63569999,347,6356,6356
1559375,54,1559,1559
1453295,37,1453,1453
1453294,37,1453,1453
1453299,37,1453,1453
1453296,37,1453,1453
1453298,37,1453,1453
1453293,37,1453,1453
1559376,54,1559,1559
1451286,32,1451,1451
1559377,54,1559,1559
1559378,54,1559,1559
1558372,40,1558,1558
1558373,40,1558,1558
1558371,43,1558,1558
1558374,43,1558,1558
1456313,36,1456,1456
1559379,49,1559,1559
1559381,49,1559,1559
1559382,49,1559,1559
1559380,49,1559,1559
1456312,36,1456,1456
1456311,36,1456,1456
1456315,36,1456,1456
1456316,36,1456,1456
1456314,36,1456,1456
1557370,62,1557,1557
1557369,62,1557,1557
1557367,44,1557,1557
1557368,44,1557,1557
1457317,35,1457,1457
1457322,35,1457,1457
1457321,35,1457,1457
1457323,35,1457,1457
1457320,35,1457,1457
1457318,35,1457,1457
1457319,35,1457,1457
1555353,63,1555,1555
1555354,63,1555,1555
1555355,63,1555,1555
1555356,63,1555,1555
1555352,63,1555,1555
1560386,51,1560,1560
1560383,51,1560,1560
1560384,51,1560,1560
1560387,51,1560,1560
1560385,51,1560,1560
1555351,63,1555,1555
1555358,50,1555,1555
1555357,50,1555,1555
1555359,63,1555,1555
1556361,56,1556,1556
1556364,56,1556,1556
1556365,56,1556,1556
1556363,56,1556,1556
1556362,56,1556,1556
1561388,39,1561,1561
1561391,58,1561,1561
1561392,58,1561,1561
1458325,31,1458,1458
1562396,59,1562,1562
1562394,59,1562,1562
1562393,59,1562,1562
1562395,59,1562,1562
1562397,59,1562,1562
1458324,31,1458,1458
1458327,31,1458,1458
1458326,31,1458,1458
1454306,29,1454,1454
1454303,29,1454,1454
1454304,29,1454,1454
1455310,30,1455,1455
1455307,30,1455,1455
1455309,30,1455,1455
1455308,30,1455,1455
1454301,33,1454,1454
14549999,33,1454,1454
1454300,33,1454,1454
1454302,33,1454,1454
1454305,33,1454,1454
1554350,64,1554,1554
1554343,64,1554,1554
1554349,64,1554,1554
1554344,64,1554,1554
1554345,64,1554,1554
1554346,64,1554,1554
1554347,64,1554,1554
1561390,47,1561,1561
1561389,47,1561,1561
1563402,55,1563,1563
15639999,55,1563,1563
1563399,55,1563,1563
1563398,55,1563,1563
1553340,45,1553,1553
1553339,53,1553,1553
1554348,42,1554,1554
1553338,53,1553,1553
1553341,41,1553,1553
1553342,41,1553,1553
1551333,65,1551,1551
1551329,65,1551,1551
1551330,65,1551,1551
1551331,65,1551,1551
1551332,65,1551,1551
1551328,65,1551,1551
1552337,61,1552,1552
1552334,61,1552,1552
1552335,61,1552,1552
1552336,61,1552,1552
1563400,46,1563,1563
1563401,46,1563,1563
1565414,57,1565,1565
1565416,57,1565,1565
1565413,57,1565,1565
1565415,57,1565,1565
1565412,57,1565,1565
1565417,57,1565,1565
1565418,57,1565,1565
1564409,60,1564,1564
1564408,60,1564,1564
1564406,60,1564,1564
1564405,60,1564,1564
1566421,66,1566,1566
1566423,66,1566,1566
1566426,66,1566,1566
1566424,66,1566,1566
1566425,66,1566,1566
1566422,66,1566,1566
15669999,66,1566,1566
1564407,52,1564,1564
1564404,52,1564,1564
1564403,52,1564,1564
1564411,60,1564,1564
1564410,60,1564,1564
1566419,48,1566,1566
31611013,154,3161,3161
31611006,154,3161,3161
31611007,154,3161,3161
31611008,154,3161,3161
31611011,154,3161,3161
31611009,154,3161,3161
31611012,154,3161,3161
31611010,154,3161,3161
31611014,154,3161,3161
3160994,156,3160,3160
31601002,156,3160,3160
3160999,156,3160,3160
3160998,156,3160,3160
31601000,156,3160,3160
3160997,156,3160,3160
3160993,156,3160,3160
32511055,193,3251,3251
32511054,193,3251,3251
32511053,193,3251,3251
32511051,193,3251,3251
32511050,193,3251,3251
32511052,193,3251,3251
32511056,193,3251,3251
32531063,187,3253,3253
32531064,187,3253,3253
32531066,187,3253,3253
32519999,178,3251,3251
32511057,178,3251,3251
3159992,146,3159,3159
3159991,146,3159,3159
3159990,146,3159,3159
3160995,153,3160,3160
31601003,153,3160,3160
31601001,153,3160,3160
3160996,153,3160,3160
31601005,153,3160,3160
31601004,156,3160,3160
31621021,150,3162,3162
31621020,150,3162,3162
31621019,150,3162,3162
31621015,150,3162,3162
31621016,150,3162,3162
31621018,150,3162,3162
3158989,151,3158,3158
3158988,151,3158,3158
3158987,151,3158,3158
3156975,145,3156,3156
3156973,145,3156,3156
3156976,155,3156,3156
3156972,155,3156,3156
3156971,155,3156,3156
3156974,155,3156,3156
63532047,348,6353,6353
3155967,158,3155,3155
3155968,158,3155,3155
3155966,158,3155,3155
3155970,158,3155,3155
3155969,158,3155,3155
63532046,348,6353,6353
63532045,348,6353,6353
63532044,348,6353,6353
32621117,182,3262,3262
3151950,162,3151,3151
3153957,162,3153,3153
3153961,162,3153,3153
3153958,162,3153,3153
31539999,162,3153,3153
3153960,162,3153,3153
3153959,162,3153,3153
3154962,162,3154,3154
3154963,162,3154,3154
3151948,162,3151,3151
3151949,162,3151,3151
3154965,162,3154,3154
3154964,162,3154,3154
32531065,176,3253,3253
32531067,176,3253,3253
63549999,349,6354,6354
63542051,349,6354,6354
63542054,349,6354,6354
63542053,349,6354,6354
32521059,188,3252,3252
32521058,188,3252,3252
32521061,188,3252,3252
32521060,188,3252,3252
32521062,188,3252,3252
63552058,349,6355,6355
63552059,349,6355,6355
63552056,349,6355,6355
63552057,349,6355,6355
63552055,349,6355,6355
3157980,159,3157,3157
3157977,159,3157,3157
3157979,159,3157,3157
3157982,159,3157,3157
32571091,166,3257,3257
32571092,166,3257,3257
63542052,344,6354,6354
3158983,151,3158,3158
3158984,151,3158,3158
3158986,151,3158,3158
32571089,184,3257,3257
32571088,184,3257,3257
32571087,184,3257,3257
3157981,159,3157,3157
32571090,179,3257,3257
3152951,152,3166,3166
31651049,157,3165,3165
31651048,157,3165,3165
31651046,157,3165,3165
31651047,157,3165,3165
31651045,157,3165,3165
3157978,159,3157,3157
63522039,350,6352,6352
63522042,350,6352,6352
1651431,74,1651,1651
1651430,74,1651,1651
1651435,74,1651,1651
1651434,74,1651,1651
1651433,74,1651,1651
1651432,74,1651,1651
1651428,74,1651,1651
1651427,74,1651,1651
1651429,74,1651,1651
32621120,183,3262,3262
32621119,183,3262,3262
32621121,183,3262,3262
32631125,170,3263,3263
32631124,169,3263,3263
63512026,350,6351,6351
63522035,350,6352,6352
63522036,350,6352,6352
63522040,350,6352,6352
63512034,350,6351,6351
63522037,350,6352,6352
63522041,350,6352,6352
63522038,350,6352,6352
63512027,350,6351,6351
63529999,350,6352,6352
32631122,181,3263,3263
32631123,181,3263,3263
32611115,190,3261,3261
32611116,190,3261,3261
32611114,190,3261,3261
32611113,190,3261,3261
34651340,225,3465,3465
34651338,225,3465,3465
1654457,73,1654,1654
1654452,73,1654,1654
1654463,73,1654,1654
1654460,73,1654,1654
1654453,73,1654,1654
1654459,73,1654,1654
34651336,225,3465,3465
34651339,225,3465,3465
34651341,225,3465,3465
34651337,225,3465,3465
1653448,67,1653,1653
1653451,67,1653,1653
1653449,67,1653,1653
34621316,213,3462,3462
34621312,213,3462,3462
34621315,213,3462,3462
34621313,213,3462,3462
31641033,161,3164,3164
31641036,161,3164,3164
31641032,161,3164,3164
31641029,161,3164,3164
31641030,161,3164,3164
31641038,161,3164,3164
31641028,161,3164,3164
31641037,161,3164,3164
31641034,161,3164,3164
31641043,161,3164,3164
31641042,161,3164,3164
31641041,161,3164,3164
31641040,161,3164,3164
31641039,161,3164,3164
34621314,213,3462,3462
32581095,192,3258,3258
32581093,192,3258,3258
32581097,192,3258,3258
32581094,192,3258,3258
32581098,192,3258,3258
32581096,192,3258,3258
34641335,226,3464,3464
34641334,226,3464,3464
34641332,226,3464,3464
34641331,226,3464,3464
34641329,226,3464,3464
34641333,226,3464,3464
34641330,226,3464,3464
32601111,189,3260,3260
32601110,189,3260,3260
32601109,189,3260,3260
32601112,189,3260,3260
32601108,189,3260,3260
32591107,186,3259,3259
32591106,186,3259,3259
32599999,186,3259,3259
32591105,186,3259,3259
32581099,165,3258,3258
1653447,70,1653,1653
1653445,70,1653,1653
1653446,70,1653,1653
1653444,70,1653,1653
1653450,70,1653,1653
32621118,173,3262,3262
32561082,172,3256,3256
31621017,150,3162,3162
31641044,148,3164,3164
3152952,147,3166,3166
3152953,147,3166,3166
1652438,71,1652,1652
1652443,71,1652,1652
1652436,71,1652,1652
1652437,71,1652,1652
1652442,71,1652,1652
1652441,71,1652,1652
3152956,162,3152,3152
3152955,162,3152,3152
1652439,71,1652,1652
1652440,71,1652,1652
31631024,149,3163,3163
31631025,149,3163,3163
31631026,149,3163,3163
31631022,149,3163,3163
31631027,149,3163,3163
32561086,191,3256,3256
32561079,191,3256,3256
32561080,191,3256,3256
32561081,191,3256,3256
32561078,191,3256,3256
32551074,177,3255,3255
32551073,177,3255,3255
1654462,68,1654,1654
1654461,68,1654,1654
1654454,68,1654,1654
1654464,68,1654,1654
32541071,185,3254,3254
32541072,185,3254,3254
32561085,175,3256,3256
32561083,175,3256,3256
32561084,175,3256,3256
1254187,10,1254,1254
1254185,10,1254,1254
1254184,10,1254,1254
1254186,10,1254,1254
1254182,10,1254,1254
1254183,10,1254,1254
32541068,180,3254,3254
32541070,180,3254,3254
32541069,180,3254,3254
32581100,163,3258,3258
1654456,68,1654,1654
1654455,68,1654,1654
1654458,68,1654,1654
32581101,164,3258,3258
32589999,174,3258,3258
32581102,168,3258,3258
32581103,171,3258,3258
32581104,171,3258,3258
1656470,69,1656,1656
32551076,167,3255,3255
32551077,167,3255,3255
32551075,167,3255,3255
1656472,69,1656,1656
1253180,13,1253,1253
1253181,13,1253,1253
1253177,13,1253,1253
1253176,13,1253,1253
1253178,13,1253,1253
1253179,13,1253,1253
1253175,13,1253,1253
1252168,15,1252,1252
1252171,15,1252,1252
1252170,15,1252,1252
1252169,15,1252,1252
1252174,15,1252,1252
1252173,15,1252,1252
1252172,15,1252,1252
1251160,14,1251,1251
1251167,14,1251,1251
1251166,14,1251,1251
1251162,14,1251,1251
1251163,14,1251,1251
1251164,14,1251,1251
1251161,14,1251,1251
1251165,14,1251,1251
1251159,14,1251,1251
1257206,12,1257,1257
1257205,12,1257,1257
1257202,12,1257,1257
1257203,12,1257,1257
1257204,12,1257,1257
1256201,11,1256,1256
1256197,11,1256,1256
1256198,11,1256,1256
1256199,11,1256,1256
1256196,11,1256,1256
1256195,11,1256,1256
1256193,11,1256,1256
1256194,11,1256,1256
1256200,11,1256,1256
1255190,9,1255,1255
1255189,9,1255,1255
1255191,9,1255,1255
1255188,9,1255,1255
1255192,9,1255,1255
11511,1,1151,1151
11512,1,1151,1151
11513,2,1151,1151
11516,2,1151,1151
11515,2,1151,1151
11514,2,1151,1151
1656471,69,1656,1656
1164124,7,1164,1164
1164127,7,1164,1164
11649999,7,1164,1164
1164126,7,1164,1164
1169138,3,1169,1169
1169139,3,1169,1169
1169141,3,1169,1169
1169140,3,1169,1169
1169137,3,1169,1169
116069,4,1160,1160
116070,4,1160,1160
116079,4,1160,1160
116075,4,1160,1160
116080,4,1160,1160
116076,4,1160,1160
116071,4,1160,1160
116072,4,1160,1160
116074,4,1160,1160
116073,4,1160,1160
116077,4,1160,1160
116081,4,1160,1160
116078,4,1160,1160
116082,4,1160,1160
1752490,91,1752,1752
1752491,91,1752,1752
1752488,91,1752,1752
1751481,91,1751,1751
1751475,91,1751,1751
1751484,91,1751,1751
1751479,91,1751,1751
1753498,91,1753,1753
1751486,91,1751,1751
1751483,91,1751,1751
1751485,91,1751,1751
1752489,91,1752,1752
1753500,91,1753,1753
1753496,91,1753,1753
1753492,91,1753,1753
1753497,91,1753,1753
1753501,91,1753,1753
1753495,91,1753,1753
1753494,91,1753,1753
1751482,91,1751,1751
1753493,91,1753,1753
1751477,91,1751,1751
1762563,80,1762,1762
1762564,80,1762,1762
1762565,86,1762,1762
1762562,86,1762,1762
1762561,86,1762,1762
34631322,223,3463,3463
1764576,78,1764,1764
1764573,78,1764,1764
1764572,78,1764,1764
34631323,223,3463,3463
34631325,223,3463,3463
1764571,88,1764,1764
1764570,88,1764,1764
1764575,77,1764,1764
1764574,77,1764,1764
1761557,75,1761,1761
1761558,75,1761,1761
34631317,223,3463,3463
34631327,223,3463,3463
34631324,223,3463,3463
34631326,223,3463,3463
1763569,85,1763,1763
1763568,85,1763,1763
1763567,85,1763,1763
1763566,85,1763,1763
1758543,90,1758,1758
1758544,90,1758,1758
1758545,90,1758,1758
1758541,90,1758,1758
1758542,90,1758,1758
1758538,90,1758,1758
1758540,90,1758,1758
1758539,90,1758,1758
1759548,83,1759,1759
1759547,83,1759,1759
1759546,83,1759,1759
1655468,72,1655,1655
1655466,72,1655,1655
1655467,72,1655,1655
1655469,72,1655,1655
1655465,72,1655,1655
1656473,69,1656,1656
1656474,69,1656,1656
1761560,76,1761,1761
1761559,76,1761,1761
1754508,79,1754,1754
1754504,79,1754,1754
1754505,79,1754,1754
1754503,79,1754,1754
1754506,82,1754,1754
1754509,82,1754,1754
1754502,82,1754,1754
1754507,82,1754,1754
1760553,81,1760,1760
1760556,81,1760,1760
1760549,81,1760,1760
1760552,81,1760,1760
1760551,81,1760,1760
1760554,81,1760,1760
1760555,81,1760,1760
1760550,81,1760,1760
1756519,89,1756,1756
1756524,89,1756,1756
1756521,89,1756,1756
1756528,89,1756,1756
1756527,89,1756,1756
1756525,89,1756,1756
1756523,89,1756,1756
1756526,89,1756,1756
1756522,89,1756,1756
1756520,89,1756,1756
1757529,84,1757,1757
1757530,84,1757,1757
1757534,84,1757,1757
1757535,84,1757,1757
1757531,84,1757,1757
1757532,84,1757,1757
1757537,84,1757,1757
1757536,84,1757,1757
1757533,84,1757,1757
1755514,87,1755,1755
1755513,87,1755,1755
1755515,87,1755,1755
1755511,87,1755,1755
1755518,87,1755,1755
1755512,87,1755,1755
1755510,87,1755,1755
1755516,87,1755,1755
1755517,87,1755,1755
34631321,219,3463,3463
34631320,219,3463,3463
34631319,219,3463,3463
34631318,219,3463,3463
34631328,219,3463,3463
2453878,142,2453,2453
2453880,142,2453,2453
2453881,142,2453,2453
2453882,142,2453,2453
2453877,142,2453,2453
2453879,142,2453,2453
2461943,134,2461,2461
2461941,134,2461,2461
2461944,134,2461,2461
2461945,134,2461,2461
2461942,134,2461,2461
2460933,135,2460,2460
2460940,135,2460,2460
2460938,135,2460,2460
2460939,135,2460,2460
2460936,135,2460,2460
2460937,135,2460,2460
2460934,135,2460,2460
2460935,135,2460,2460
2357826,121,2357,2357
2357829,121,2357,2357
2357828,121,2357,2357
2357827,121,2357,2357
2452870,137,2452,2452
2452876,137,2452,2452
2452875,137,2452,2452
2452871,137,2452,2452
2452873,137,2452,2452
2459924,138,2459,2459
2459925,138,2459,2459
2459928,138,2459,2459
2459926,138,2459,2459
2459927,138,2459,2459
2459929,138,2459,2459
2459931,138,2459,2459
2459930,138,2459,2459
2459932,138,2459,2459
2458915,133,2458,2458
2458914,133,2458,2458
2458923,140,2458,2458
2458916,133,2458,2458
2458919,140,2458,2458
2458918,140,2458,2458
2458917,140,2458,2458
2458921,140,2458,2458
2458920,140,2458,2458
2458922,140,2458,2458
2457908,143,2457,2457
2457909,143,2457,2457
2457913,143,2457,2457
2457905,143,2457,2457
2457904,143,2457,2457
2457903,143,2457,2457
2457906,143,2457,2457
2457911,143,2457,2457
2457912,143,2457,2457
2457907,143,2457,2457
2457910,143,2457,2457
34611304,218,3461,3461
34611310,218,3461,3461
34611308,218,3461,3461
34611305,218,3461,3461
34611300,218,3461,3461
34611311,218,3461,3461
34611306,218,3461,3461
34611303,218,3461,3461
2451863,144,2451,2451
2452869,144,2452,2452
2451866,144,2451,2451
2451867,144,2451,2451
2452872,144,2452,2452
2451864,144,2451,2451
2452868,144,2452,2452
2451861,144,2451,2451
2451860,144,2451,2451
2451865,144,2451,2451
2452874,144,2452,2452
2451862,144,2451,2451
2456899,136,2456,2456
2456898,136,2456,2456
2456897,136,2456,2456
2456900,136,2456,2456
2456901,136,2456,2456
2456902,136,2456,2456
2454886,139,2454,2454
2454887,139,2454,2454
2454888,139,2454,2454
2454885,139,2454,2454
2454889,139,2454,2454
2454884,139,2454,2454
2454883,139,2454,2454
34611309,215,3461,3461
34611307,215,3461,3461
34611301,215,3461,3461
34611302,215,3461,3461
2455891,141,2455,2455
2455895,141,2455,2455
2455896,141,2455,2455
2455892,141,2455,2455
2455890,141,2455,2455
2455894,141,2455,2455
2455893,141,2455,2455
2254710,113,2254,2254
2254711,113,2254,2254
2254715,113,2254,2254
2254709,113,2254,2254
2254713,107,2254,2254
2254716,107,2254,2254
2254714,107,2254,2254
2254712,107,2254,2254
2255717,110,2255,2255
2255721,110,2255,2255
2255727,110,2255,2255
2255719,110,2255,2255
2255728,110,2255,2255
2255722,110,2255,2255
2255720,110,2255,2255
2255718,110,2255,2255
2255723,105,2255,2255
2255725,105,2255,2255
2255726,105,2255,2255
2255724,105,2255,2255
34601296,224,3460,3460
34601291,224,3460,3460
34601297,224,3460,3460
34601293,224,3460,3460
34601298,224,3460,3460
34601295,214,3460,3460
34601299,214,3460,3460
34601294,214,3460,3460
34601292,214,3460,3460
34581284,222,3458,3458
34581277,222,3458,3458
34581281,222,3458,3458
34581279,222,3458,3458
34581282,222,3458,3458
34581278,216,3458,3458
34581283,216,3458,3458
34581280,216,3458,3458
2356824,127,2356,2356
2356819,127,2356,2356
2356821,127,2356,2356
2356825,127,2356,2356
2356818,127,2356,2356
2356822,127,2356,2356
2356823,127,2356,2356
2356817,127,2356,2356
2356820,127,2356,2356
52581838,307,5258,5258
52581839,307,5258,5258
52561826,313,5256,5256
52561817,313,5256,5256
52561816,313,5256,5256
52561819,313,5256,5256
52561820,313,5256,5256
52571827,312,5257,5257
52571831,312,5257,5257
52581837,307,5258,5258
52561818,313,5256,5256
52561825,313,5256,5256
52571832,312,5257,5257
52571829,312,5257,5257
52561821,313,5256,5256
52561823,313,5256,5256
52561822,313,5256,5256
52561824,313,5256,5256
52571828,312,5257,5257
52581835,307,5258,5258
52581836,307,5258,5258
52581834,307,5258,5258
2256735,108,2256,2256
2256736,108,2256,2256
2256739,108,2256,2256
2256732,108,2256,2256
2256742,108,2256,2256
2256738,111,2256,2256
2256737,111,2256,2256
2256740,111,2256,2256
2256729,111,2256,2256
2256743,111,2256,2256
2256731,111,2256,2256
2256730,111,2256,2256
52571833,312,5257,5257
52571830,312,5257,5257
2256741,104,2256,2256
2256733,104,2256,2256
2256734,104,2256,2256
2259767,112,2259,2259
2259768,112,2259,2259
2259770,112,2259,2259
2259769,112,2259,2259
2259771,112,2259,2259
2259766,112,2259,2259
2259763,112,2259,2259
2259765,112,2259,2259
2259764,112,2259,2259
2259762,112,2259,2259
2259772,112,2259,2259
31631023,149,3163,3163
2257755,106,2257,2257
2257746,106,2257,2257
2257752,106,2257,2257
2257753,116,2257,2257
2257745,116,2257,2257
2257744,116,2257,2257
2257750,116,2257,2257
2257747,116,2257,2257
2257754,116,2257,2257
2257748,116,2257,2257
2257751,116,2257,2257
2257749,116,2257,2257
2258759,109,2258,2258
2258760,109,2258,2258
2258756,109,2258,2258
2258757,109,2258,2258
2258758,109,2258,2258
2252692,117,2252,2252
2252695,117,2252,2252
2252690,117,2252,2252
2252696,117,2252,2252
2252694,117,2252,2252
2252697,117,2252,2252
2252699,117,2252,2252
2252698,117,2252,2252
2251680,117,2251,2251
2251679,117,2251,2251
2251678,117,2251,2251
2252691,117,2252,2252
2359841,126,2359,2359
2359836,126,2359,2359
2359839,126,2359,2359
2359838,126,2359,2359
2359837,126,2359,2359
2359840,126,2359,2359
2360847,131,2360,2360
2360843,131,2360,2360
2360842,131,2360,2360
2360844,131,2360,2360
2360848,131,2360,2360
2360845,131,2360,2360
2360850,131,2360,2360
2360849,131,2360,2360
2360846,131,2360,2360
2355815,130,2355,2355
2355807,130,2355,2355
2355814,122,2355,2355
2358832,123,2358,2358
2358831,123,2358,2358
2358830,123,2358,2358
2358835,123,2358,2358
2358833,123,2358,2358
2358834,123,2358,2358
52521767,315,5252,5252
52551800,311,5255,5255
52551801,311,5255,5255
52521772,315,5252,5252
52521765,315,5252,5252
52521766,315,5252,5252
52521768,315,5252,5252
52591847,308,5259,5259
52541790,314,5254,5254
52511760,315,5251,5251
52591846,308,5259,5259
52511763,315,5251,5251
52511764,315,5251,5251
52541788,314,5254,5254
52541789,314,5254,5254
52541791,314,5254,5254
52541798,314,5254,5254
52541792,314,5254,5254
52511761,315,5251,5251
52541793,314,5254,5254
52551805,311,5255,5255
52531786,309,5253,5253
52551806,310,5255,5255
52551807,310,5255,5255
52551814,310,5255,5255
52511758,315,5251,5251
52531778,309,5253,5253
52591845,308,5259,5259
52511762,315,5251,5251
52551812,310,5255,5255
52531775,309,5253,5253
52591842,308,5259,5259
52551815,310,5255,5255
52531777,309,5253,5253
52551808,310,5255,5255
52551809,311,5255,5255
52521769,315,5252,5252
52521770,315,5252,5252
52531787,309,5253,5253
52551802,311,5255,5255
52591840,308,5259,5259
52541795,314,5254,5254
52591841,308,5259,5259
52541799,314,5254,5254
52541794,314,5254,5254
52551813,311,5255,5255
52521773,315,5252,5252
52521774,306,5252,5252
52541796,314,5254,5254
52541797,314,5254,5254
52551810,311,5255,5255
52551811,311,5255,5255
52551804,310,5255,5255
52531785,309,5253,5253
52599999,308,5259,5259
52531779,309,5253,5253
52531783,309,5253,5253
52551803,311,5255,5255
52531784,309,5253,5253
52511757,315,5251,5251
52511759,315,5251,5251
52531780,309,5253,5253
52531781,309,5253,5253
52591848,308,5259,5259
52531776,309,5253,5253
52591849,308,5259,5259
52531782,309,5253,5253
52591843,308,5259,5259
52521771,315,5252,5252
52591844,308,5259,5259
53551898,321,5355,5355
53551897,321,5355,5355
53551896,321,5355,5355
53551895,321,5355,5355
53511852,322,5351,5351
53531887,320,5353,95358
53531886,320,5353,95358
53531885,320,5353,95358
53531884,320,5353,95358
53531883,320,5353,95358
53521872,317,5352,5352
53511860,322,5351,5351
53511859,322,5351,5351
53511858,322,5351,5351
53541894,318,5354,5354
53541893,318,5354,5354
53541892,318,5354,5354
53541891,318,5354,5354
53541890,318,5354,5354
53511864,322,5351,5351
53511863,322,5351,5351
53541889,318,5354,5354
53511862,322,5351,5351
53541888,318,5354,5354
53511861,322,5351,5351
53551901,321,5355,5355
53551900,321,5355,5355
53551899,321,5355,5355
53511853,322,5351,5351
53571910,319,5357,5357
53521868,322,5352,5352
53571909,319,5357,5357
53521867,322,5352,5352
53571908,319,5357,5357
53521866,322,5352,5352
53571907,319,5357,5357
53521865,322,5352,5352
53551904,321,5355,5355
