governorate_code,municipality_code,official_name_ar,official_name_fr,research_mun_uid,mapping_review,latitude,longitude,source_locator
11,1111,تونس,Tunis Ville,8,exact_or_high_confidence_label_match,36.803948,10.16645,January 2024 workbook row: governorate 11; municipality code 1111
11,1112,باردو,Le Bardo,4,exact_or_high_confidence_label_match,36.810565,10.130842,January 2024 workbook row: governorate 11; municipality code 1112
11,1113,الكرم,EL kram,5,exact_or_high_confidence_label_match,36.850494,10.29629,January 2024 workbook row: governorate 11; municipality code 1113
11,1114,حلق الوادي,La Goulette,3,exact_or_high_confidence_label_match,36.834313,10.27815,January 2024 workbook row: governorate 11; municipality code 1114
11,1115,قرطاج,Carthage,2,exact_or_high_confidence_label_match,36.855812,10.324494,January 2024 workbook row: governorate 11; municipality code 1115
11,1116,سيدي بوسعيد,Sidi Bou Said,1,exact_or_high_confidence_label_match,36.871725,10.343223,January 2024 workbook row: governorate 11; municipality code 1116
11,1117,المرسي,La Marsa,6,exact_or_high_confidence_label_match,36.895871,10.297757,January 2024 workbook row: governorate 11; municipality code 1117
11,1118,سيدي حسين,Sidi Hassine,7,exact_or_high_confidence_label_match,36.738499,10.092673,January 2024 workbook row: governorate 11; municipality code 1118
12,1211,اريانة,Ariana,14,exact_or_high_confidence_label_match,36.86474,10.169165,January 2024 workbook row: governorate 12; municipality code 1211
12,1212,سكرة,Soukra,15,exact_or_high_confidence_label_match,36.87812,10.230881,January 2024 workbook row: governorate 12; municipality code 1212
12,1213,رواد,Raoued,13,exact_or_high_confidence_label_match,36.929411,10.170922,January 2024 workbook row: governorate 12; municipality code 1213
12,1214,الجبل الأحمر - حي التحرير,Kalaat El Andalos,10,exact_or_high_confidence_label_match,37.015309,10.129395,January 2024 workbook row: governorate 12; municipality code 1214
12,1215,سيدي ثابت,Sidi Thabet,9,exact_or_high_confidence_label_match,36.90966,10.048566,January 2024 workbook row: governorate 12; municipality code 1215
12,1216,التضامن,Ettadhamen,11,exact_or_high_confidence_label_match,36.834476,10.105676,January 2024 workbook row: governorate 12; municipality code 1216
12,1217,المنيھلة,El Mnihla,12,exact_or_high_confidence_label_match,36.864693,10.111847,January 2024 workbook row: governorate 12; municipality code 1217
13,1311,بن عروس,Ben Arous,27,exact_or_high_confidence_label_match,36.742642,10.237428,January 2024 workbook row: governorate 13; municipality code 1311
13,1312,المروج,El Mourouj,28,exact_or_high_confidence_label_match,36.718347,10.216022,January 2024 workbook row: governorate 13; municipality code 1312
13,1313,حمام الانف,Hammam Lif,23,exact_or_high_confidence_label_match,36.718564,10.336134,January 2024 workbook row: governorate 13; municipality code 1313
13,1314,حمام الشط,Hammam Chott,19,exact_or_high_confidence_label_match,36.688766,10.379855,January 2024 workbook row: governorate 13; municipality code 1314
13,1315,بومھل البساتين,Bou Mhel El Bassatine,21,exact_or_high_confidence_label_match,36.719439,10.291315,January 2024 workbook row: governorate 13; municipality code 1315
13,1316,الزھراء,Ez-Zahra,20,exact_or_high_confidence_label_match,36.745388,10.301611,January 2024 workbook row: governorate 13; municipality code 1316
13,1317,رادس,Rades,25,exact_or_high_confidence_label_match,36.774184,10.275622,January 2024 workbook row: governorate 13; municipality code 1317
13,1318,مقرين,Megrine,17,exact_or_high_confidence_label_match,36.774089,10.236606,January 2024 workbook row: governorate 13; municipality code 1318
13,1319,المحمدية,Mhamedia,26,exact_or_high_confidence_label_match,36.648093,10.119325,January 2024 workbook row: governorate 13; municipality code 1319
13,1320,مرناق,Mornag,22,exact_or_high_confidence_label_match,36.595019,10.310242,January 2024 workbook row: governorate 13; municipality code 1320
13,1321,الخليدية,Khelidia,16,exact_or_high_confidence_label_match,36.586359,10.217283,January 2024 workbook row: governorate 13; municipality code 1321
13,1322,فوشانة,Fouchana,24,exact_or_high_confidence_label_match,36.707606,10.171152,January 2024 workbook row: governorate 13; municipality code 1322
13,1323,نعسان,Naassen,18,exact_or_high_confidence_label_match,36.67916,10.22152,January 2024 workbook row: governorate 13; municipality code 1323
14,1411,منوبة,Mannouba,34,exact_or_high_confidence_label_match,36.810106,10.080715,January 2024 workbook row: governorate 14; municipality code 1411
14,1412,الدندان,Denden,32,exact_or_high_confidence_label_match,36.810548,10.111717,January 2024 workbook row: governorate 14; municipality code 1412
14,1413,دوار ھيشر,Douar Hicher,38,exact_or_high_confidence_label_match,36.833199,10.08298,January 2024 workbook row: governorate 14; municipality code 1413
