id,schema_version,status,source_id,entity_id,kind,language,name,script,source_locator,valid_from,valid_to
ALS-002C31C3BFFA5523,2.0.0,current,SRC-TN-DGCL-MUNICIPALITIES-2024,ENT-TN-MUNICIPALITY-1517,official_variant,fr,Tazarka,Latn,January 2024 workbook row: governorate 15; municipality code 1517,,
ALS-004262471D525D22,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-1171157,official_variant,fr,Sidi Daoued,Latn,ADM4 row / research sector code 1171157; dated ADM3 parent 1171,,
ALS-005B4AF7DE745402,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-62522002,official_variant,fr,Sebâa Abar,Latn,ADM4 row / research sector code 62522002; dated ADM3 parent 6252,,
ALS-00A79E5383C557B0,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-53571908,official_variant,fr,Rémada Ouest,Latn,ADM4 row / research sector code 53571908; dated ADM3 parent 5357,,
ALS-00B7ECC6FA965BAF,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-11514,official_variant,fr,Carthage Plage,Latn,ADM4 row / research sector code 11514; dated ADM3 parent 1151,,
ALS-00BC3BEDA9085485,2.0.0,current,SRC-UNESCO-WHC-TN-2026,ENT-TN-SITE-MEDINA-SOUSSE,official_variant,fr,Médina de Sousse,Latn,World Heritage property 498,,
ALS-00D5D949CDD95724,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-2152596,official_variant,fr,Mekhachbia,Latn,ADM4 row / research sector code 2152596; dated ADM3 parent 2152,,
ALS-00E9219FEB9A5ECF,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-51511688,official_variant,fr,Chott Sidi Abdesselam,Latn,ADM4 row / research sector code 51511688; dated ADM3 parent 5151,,
ALS-0100D661F6C75652,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-DELEGATION-0B9CE76F3AD6,official_variant,fr,Menzel Chaker,Latn,ADM3 row / dated 264-delegation research code 3461,,
ALS-011A52629D6A567F,2.0.0,current,SRC-TN-DGCL-MUNICIPALITIES-2024,ENT-TN-MUNICIPALITY-3327,official_variant,fr,Talalsa,Latn,January 2024 workbook row: governorate 33; municipality code 3327,,
ALS-0124ED376EF95A66,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-42571512,official_variant,fr,Aïn El Hamadna,Latn,ADM4 row / research sector code 42571512; dated ADM3 parent 4257,,
ALS-012C70A97B0B527D,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-32541072,official_variant,fr,Zéramdine Sud,Latn,ADM4 row / research sector code 32541072; dated ADM3 parent 3254,,
ALS-01591C7371D95858,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-53521876,official_variant,fr,Erroghba,Latn,ADM4 row / research sector code 53521876; dated ADM3 parent 5352,,
ALS-01C90A3AA865543B,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-1763568,official_variant,fr,El Alia Sud,Latn,ADM4 row / research sector code 1763568; dated ADM3 parent 1763,,
ALS-0204C7B371FA51EC,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-2451867,official_variant,fr,Aïn Ed-Dissa,Latn,ADM4 row / research sector code 2451867; dated ADM3 parent 2451,,
ALS-02293CA2EBC454A9,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-52571828,official_variant,fr,Arkou,Latn,ADM4 row / research sector code 52571828; dated ADM3 parent 5257,,
ALS-02EF47B94A1D5676,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-DELEGATION-FD2AE43A4C3D,official_variant,fr,Sbiba,Latn,ADM3 row / dated 264-delegation research code 4256,,
ALS-0309C03DF9545532,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-2256738,official_variant,fr,El Adhar,Latn,ADM4 row / research sector code 2256738; dated ADM3 parent 2256,,
ALS-032DE9242E81523B,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-42631568,official_variant,fr,Ennadhour,Latn,ADM4 row / research sector code 42631568; dated ADM3 parent 4263,,
ALS-036DA26B917A539A,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-32531064,official_variant,fr,Sahline Ouest,Latn,ADM4 row / research sector code 32531064; dated ADM3 parent 3253,,
ALS-0384ECA6B828500E,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-34621312,official_variant,fr,EL Ghraiba,Latn,ADM4 row / research sector code 34621312; dated ADM3 parent 3462,,
ALS-038D61C665BB5E56,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-2257752,official_variant,fr,Forgassen,Latn,ADM4 row / research sector code 2257752; dated ADM3 parent 2257,,
ALS-03A7A2B9018956AB,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-1555355,official_variant,fr,Ali Belhaouene,Latn,ADM4 row / research sector code 1555355; dated ADM3 parent 1555,,
ALS-03AD3E97111D52FE,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-3154965,official_variant,fr,Sidi Abdelhamid,Latn,ADM4 row / research sector code 3154965; dated ADM3 parent 3154,,
ALS-03C9610B46E3539D,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-2461941,official_variant,fr,El Aroussa,Latn,ADM4 row / research sector code 2461941; dated ADM3 parent 2461,,
ALS-03D9E3E050565898,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-1152110,official_variant,fr,El Assouak,Latn,ADM4 row / research sector code 1152110; dated ADM3 parent 1152,,
ALS-03E69C18CBB25D6B,2.0.0,current,SRC-JO-REGULATION-46-2000,ENT-JO-LIWA-2362552AE4BD,transliteration,en,Shoubak,Latn,"Regulation No. 46 of 2000, Article 8; Liwa الشوبك clause",,
ALS-03E9D082C3ED5B10,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-42591529,official_variant,fr,Zelfane,Latn,ADM4 row / research sector code 42591529; dated ADM3 parent 4259,,
ALS-03F1B77D29DB543B,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-43621680,official_variant,fr,El Mebarkia,Latn,ADM4 row / research sector code 43621680; dated ADM3 parent 4362,,
ALS-0433F6D2991C5BA3,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-1551329,official_variant,fr,Ennour,Latn,ADM4 row / research sector code 1551329; dated ADM3 parent 1551,,
ALS-04763ECB15AE5368,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-2357826,official_variant,fr,Kalaat Khasba,Latn,ADM4 row / research sector code 2357826; dated ADM3 parent 2357,,
ALS-04878716A43F5494,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-DELEGATION-0410399059C4,official_variant,fr,Tozeur,Latn,ADM3 row / dated 264-delegation research code 6251,,
ALS-04C54DA9D55056F6,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-1752490,official_variant,fr,Zarzouna Nord,Latn,ADM4 row / research sector code 1752490; dated ADM3 parent 1752,,
