id,schema_version,status,source_id,child_id,confidence,notes,parent_id,relationship_type,source_locator,valid_from,valid_to,verification_status
REL-000688A6E92F5456,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-11514,high,,ENT-TN-DELEGATION-CEF958458571,administrative_parent,ADM4 row / research sector code 11514; dated ADM3 parent 1151,,,verified
REL-00135B8396895A00,2.0.0,historical,SRC-LY-BSC-CENSUS-2006,ENT-LY-SHABIYA-HISTORICAL-3FE7A9F5E139,high,Historical hierarchy snapshot only.,ENT-LY-COUNTRY,administrative_parent,2006 census region: بنغازي,,,verified
REL-0017BC658DE1579D,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-31641034,high,,ENT-TN-DELEGATION-9ADFA1D292D9,administrative_parent,ADM4 row / research sector code 31641034; dated ADM3 parent 3164,,,verified
REL-0024C03C4F6C5D2D,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-32611116,high,,ENT-TN-DELEGATION-6417F8B088EB,administrative_parent,ADM4 row / research sector code 32611116; dated ADM3 parent 3261,,,verified
REL-002784E1331C5277,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-32581098,high,,ENT-TN-DELEGATION-4E58B3CD9CB1,administrative_parent,ADM4 row / research sector code 32581098; dated ADM3 parent 3258,,,verified
REL-002A700F5E9A5F13,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-DELEGATION-78A6B0904A2B,high,,ENT-TN-GOVERNORATE-A460B4F223EB,administrative_parent,ADM3 row / dated 264-delegation research code 2457,,,verified
REL-002B75C1214F5C23,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-53541888,high,,ENT-TN-DELEGATION-390678B1D4C7,administrative_parent,ADM4 row / research sector code 53541888; dated ADM3 parent 5354,,,verified
REL-00397F50C5635ECA,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-1256198,high,,ENT-TN-DELEGATION-4F055D8E4C5F,administrative_parent,ADM4 row / research sector code 1256198; dated ADM3 parent 1256,,,verified
REL-004932CE317E5A32,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-1252170,high,,ENT-TN-DELEGATION-2230C03437B2,administrative_parent,ADM4 row / research sector code 1252170; dated ADM3 parent 1252,,,verified
REL-004AF32FD69D5A49,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-34591290,high,,ENT-TN-DELEGATION-D8723103173B,administrative_parent,ADM4 row / research sector code 34591290; dated ADM3 parent 3459,,,verified
REL-005C18DC29B5595F,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-115789,high,,ENT-TN-DELEGATION-5C87693EF7C1,administrative_parent,ADM4 row / research sector code 115789; dated ADM3 parent 1157,,,verified
REL-007845CB6A3F5180,2.0.0,current,SRC-TN-RESEARCH-GEOMETRY-2018,ENT-TN-MUNICIPALITY-2323,medium,Approximate research topology only; this is not an administrative parent relationship.,ENT-TN-DELEGATION-D4441080949B,boundary_intersects,"sector evidence rows: 2352779,2352780,2352781,2352782",,,source_verified
REL-0081468142B95FB9,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-3157982,high,,ENT-TN-DELEGATION-CA29D85670F9,administrative_parent,ADM4 row / research sector code 3157982; dated ADM3 parent 3157,,,verified
REL-0085031110555D2B,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-DELEGATION-3D8C44AF7D14,high,,ENT-TN-GOVERNORATE-7A4D0C3A889C,administrative_parent,ADM3 row / dated 264-delegation research code 2255,,,verified
REL-009B834D9C1757CD,2.0.0,current,SRC-TN-DGCL-MUNICIPALITIES-2024,ENT-TN-MUNICIPALITY-1419,high,,ENT-TN-GOVERNORATE-CC06DF550344,administrative_parent,January 2024 workbook row: governorate 14; municipality code 1419,,,verified
REL-00AD66506B275AF1,2.0.0,current,SRC-TN-RESEARCH-GEOMETRY-2018,ENT-TN-MUNICIPALITY-3428,medium,Approximate research topology only; this is not an administrative parent relationship.,ENT-TN-DELEGATION-CC6DBA2640FB,boundary_intersects,"sector evidence rows: 34551263,34551264,34551265",,,source_verified
REL-00B74FE4BB1957C1,2.0.0,current,SRC-TN-HDX-CODAB-2022,ENT-TN-IMADA-2153600,high,,ENT-TN-DELEGATION-64B47287C7CC,administrative_parent,ADM4 row / research sector code 2153600; dated ADM3 parent 2153,,,verified
