id,الدولة,الوحدة_الإدارية_العليا,المستوى_الثاني,المدينة_أو_القرية,الحي_أو_الحارة,الاسم_المحلي,الأسماء_البديلة,النوع,خط_العرض,خط_الطول,الارتفاع_م,السكان,سنة_السكان,المصدر,تاريخ_المصدر,درجة_الثقة,ملاحظات
DZ-01,الجزائر,أدرار,—,أدرار,—,أدرار,Adrar / توات,ولاية,27.8742,-0.2939,258,439693,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,تقلّصت 2019؛ السكان 2008 بحدودها القديمة
DZ-02,الجزائر,الشلف,—,الشلف,—,الشلف,Chlef / الأصنام,ولاية,36.1653,1.3345,114,1002088,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,13 دائرة؛ تنس هنا
DZ-03,الجزائر,الأغواط,—,الأغواط,—,الأغواط,Laghouat,ولاية,33.8000,2.8650,750,477328,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,فصل أفلو 2026؛ سكان 2008 قبل الفصل
DZ-04,الجزائر,أم البواقي,—,أم البواقي,—,أم البواقي,Oum El Bouaghi,ولاية,35.8750,7.1130,890,644364,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,12 دائرة
DZ-05,الجزائر,باتنة,—,باتنة,—,باتنة,Batna / الأوراس,ولاية,35.5559,6.1741,1040,1128030,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,تيمقاد هنا؛ فصل بريكة 2026
DZ-06,الجزائر,بجاية,—,بجاية,—,بجاية,Béjaïa / بجاية / Bgayet,ولاية,36.7509,5.0567,10,912577,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,19 دائرة 52 بلدية
DZ-07,الجزائر,بسكرة,—,بسكرة,—,بسكرة,Biskra / الزيبان,ولاية,34.8504,5.7281,87,730262,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,فصلان 2019 و2026
DZ-08,الجزائر,بشار,—,بشار,—,بشار,Béchar / الساورة,ولاية,31.6167,-2.2167,747,274866,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,فصل بني عباس 2019
DZ-09,الجزائر,البليدة,—,البليدة,—,البليدة,Blida / المتيجة,ولاية,36.4700,2.8289,260,1002937,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,25 بلدية
DZ-10,الجزائر,البويرة,—,البويرة,—,البويرة,Bouïra,ولاية,36.3749,3.9020,560,695583,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,12 دائرة 45 بلدية
DZ-11,الجزائر,تمنراست,—,تمنراست,—,تمنراست,Tamanrasset / الهقار / تاهات,ولاية,22.7850,5.5228,1320,176637,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,المساحة الحالية بعد 2019 لا 557 ألفًا
DZ-12,الجزائر,تبسة,—,تبسة,—,تبسة,Tébessa,ولاية,35.4042,8.1242,860,657227,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,فصل بئر العاتر 2026
DZ-13,الجزائر,تلمسان,—,تلمسان,—,تلمسان,Tlemcen,ولاية,34.8828,-1.3167,842,949135,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,شدة تلمسانية؛ فصل العريشة
