id,الدولة,الوحدة_الإدارية_العليا,المستوى_الثاني,المدينة_أو_القرية,الحي_أو_الحارة,الاسم_المحلي,الأسماء_البديلة,النوع,خط_العرض,خط_الطول,الارتفاع_م,السكان,سنة_السكان,المصدر,تاريخ_المصدر,درجة_الثقة,ملاحظات
SO-AW,الصومال,أودال,—,بوراما,—,Awdal,Boorama / Borama,غوبول,9.9361,43.1828,1450,673263,2014,UNFPA/PESS 2014 (السلطات الصومالية),2014,🟢,أرض الصومال (أمر واقع منذ 1991 — انفصال أحادي غير معترَف به أمميًا)
SO-BK,الصومال,باكول,—,هودور,—,Bakool,Xuddur / Hudur,غوبول,4.1210,43.8896,500,367226,2014,UNFPA/PESS 2014 (السلطات الصومالية),2014,🟢,جنوب غرب الصومال (كُوْنفور غلبيد، 2014)
SO-BN,الصومال,بنادر,—,مقديشو,—,Banaadir,Muqdisho / Mogadishu,غوبول,2.0469,45.3182,9,1650227,2014,UNFPA/PESS 2014 (السلطات الصومالية),2014,🟢,إدارة إقليم بنادر (BRA) — **ليست** ولاية اتحادية
SO-BR,الصومال,باري,—,بوصاصو,—,Bari,Boosaaso / Bosaso,غوبول,11.2842,49.1816,15,719512,2014,UNFPA/PESS 2014 (السلطات الصومالية),2014,🟢,بونتلاند (أرض البنط، 1998)
SO-BY,الصومال,باي,—,بيدوا,—,Bay,Baydhabo / Baidoa,غوبول,3.1138,43.6498,480,792182,2014,UNFPA/PESS 2014 (السلطات الصومالية),2014,🟢,جنوب غرب الصومال — عاصمتها **بيدوا** لا براوة
SO-GA,الصومال,جلجدود,—,دوسمريب,—,Galguduud,Dhuusamareeb / Dhusamareb,غوبول,5.5350,46.3860,300,569434,2014,UNFPA/PESS 2014 (السلطات الصومالية),2014,🟢,غلمدغ (2006 / إعادة 2015) — العاصمة دوسمريب
SO-GE,الصومال,جدو,—,جربهاري,—,Gedo,Garbahaarreey,غوبول,3.3286,42.2208,230,508405,2014,UNFPA/PESS 2014 (السلطات الصومالية),2014,🟢,جوبالاند (2013)
SO-HI,الصومال,هيران,—,بلدوين,—,Hiiraan,Beledweyne,غوبول,4.7358,45.2036,180,520685,2014,UNFPA/PESS 2014 (السلطات الصومالية),2014,🟢,هيرشابيلي (2016) — عاصمتها جوهر لا بلدوين
SO-JD,الصومال,جوبا الوسطى,—,بوعال,—,Jubbada Dhexe,Bu'aale,غوبول,1.0833,42.5833,40,362921,2014,UNFPA/PESS 2014 (السلطات الصومالية),2014,🟢,جوبالاند
SO-JH,الصومال,جوبا السفلى,—,كيسمايو,—,Jubbada Hoose,Kismaayo / Kismayo,غوبول,-0.3582,42.5454,10,489307,2014,UNFPA/PESS 2014 (السلطات الصومالية),2014,🟢,جوبالاند — العاصمة كيسمايو
SO-MU,الصومال,مدج,—,غالكعيو,—,Mudug,Gaalkacyo / Galkayo,غوبول,6.7697,47.4308,300,717863,2014,UNFPA/PESS 2014 (السلطات الصومالية),2014,🟢,مقسوم: شمال غالكعيو/غلدوغوب ≈ بونتلاند · الجنوب/هوبيو/حرردهير ≈ غلمدغ
SO-NU,الصومال,نوجال,—,غاروي,—,Nugaal,Garoowe / Garowe,غوبول,8.4054,48.4845,470,392698,2014,UNFPA/PESS 2014 (السلطات الصومالية),2014,🟢,بونتلاند — العاصمة **غاروي**
SO-SA,الصومال,سناق,—,عيرغابو,—,Sanaag,Ceerigaabo / Erigavo,غوبول,10.6162,47.3680,1790,544123,2014,UNFPA/PESS 2014 (السلطات الصومالية),2014,🟢,مطالَب به: أرض الصومال + بونتلاند + إدارة SSC/الولاية الشمالية الشرقية (أجزاء)
SO-SD,الصومال,شبيلي الوسطى,—,جوهر,—,Shabeellaha Dhexe,Jowhar / Jawhar,غوبول,2.7809,45.5005,100,516036,2014,UNFPA/PESS 2014 (السلطات الصومالية),2014,🟢,هيرشابيلي — العاصمة **جوهر**
SO-SH,الصومال,شبيلي السفلى,—,مركة,—,Shabeellaha Hoose,Marka / Merca,غوبول,1.7159,44.7717,10,1202219,2014,UNFPA/PESS 2014 (السلطات الصومالية),2014,🟢,جنوب غرب الصومال — ليست جوبالاند
SO-SO,الصومال,سول,—,لاسعانود,—,Sool,Laascaanood / Las Anod,غوبول,8.4774,47.3597,700,327428,2014,UNFPA/PESS 2014 (السلطات الصومالية),2014,🟢,مطالَب به: أرض الصومال + بونتلاند + SSC-خاتومو / الولاية الشمالية الشرقية (لاسعانود 2023–)
SO-TO,الصومال,توغدير,—,برعو,—,Togdheer,Burco / Burao,غوبول,9.5221,45.5336,1040,721363,2014,UNFPA/PESS 2014 (السلطات الصومالية),2014,🟢,أرض الصومال (أمر واقع) — بوهودلي/عين محل نزاع مع SSC
SO-WO,الصومال,وقويي جالبيد,—,هرجيسا,—,Woqooyi Galbeed,Hargeysa / Hargeisa,غوبول,9.5624,44.0770,1334,1242003,2014,UNFPA/PESS 2014 (السلطات الصومالية),2014,🟢,أرض الصومال — العاصمة هرجيسا
