id,الدولة,الوحدة_الإدارية_العليا,المستوى_الثاني,المدينة_أو_القرية,الحي_أو_الحارة,الاسم_المحلي,الأسماء_البديلة,النوع,خط_العرض,خط_الطول,الارتفاع_م,السكان,سنة_السكان,المصدر,تاريخ_المصدر,درجة_الثقة,ملاحظات
IQ-BGD,العراق,بغداد,بغداد,بغداد,—,بغداد,مدينة السلام,محافظة+مدينة+عاصمة,33.3152,44.3661,34,9465000,2020,الجهاز المركزي للإحصاء العراقي,2020,🟢,العاصمة الاتحادية؛ 14 قضاء
IQ-BAS,العراق,البصرة,البصرة,البصرة,—,البصرة,البصرة,محافظة+مدينة,30.5085,47.7804,10,3896000,2020,الجهاز المركزي للإحصاء العراقي,2020,🟢,عاصمة نفط العراق + ميناء + ساحل
IQ-NIN,العراق,نينوى,الموصل,الموصل,—,الموصل,الموصل,محافظة+مدينة,36.3450,43.1450,220,5034000,2020,الجهاز المركزي للإحصاء العراقي,2020,🟢,آشور/نينوى؛ متنوعة قوميًا
IQ-SAL,العراق,صلاح الدين,تكريت,تكريت,—,تكريت,تكريت,محافظة+مدينة,34.6156,43.7787,140,1689000,2020,الجهاز المركزي للإحصاء العراقي,2020,🟢,موطن صدام حسين
IQ-DAH,العراق,دهوك,دهوك,دهوك,—,دهوك,دهوك/دهۆک,محافظة+مدينة (إقليم كردستان),36.8670,42.9500,550,1258700,2020,الجهاز المركزي للإحصاء العراقي,2020,🟢,كرمانجية
IQ-ARB,العراق,أربيل,أربيل,أربيل,—,أربيل,أربيل/هولير,محافظة+مدينة+عاصمة إقليم,36.1907,44.0093,410,2187700,2020,الجهاز المركزي للإحصاء العراقي,2020,🟢,عاصمة إقليم كردستان؛ قلعة أربيل تراث يونسكو
IQ-SUL,العراق,السليمانية,السليمانية,السليمانية,—,السليمانية,السليمانية/سلێمانی,محافظة+مدينة (إقليم كردستان),35.5620,45.4350,850,2492000,2020,الجهاز المركزي للإحصاء العراقي,2020,🟢,سورانية
IQ-KIR,العراق,كركوك,كركوك,كركوك,—,كركوك,كركوك,محافظة+مدينة,35.4681,44.3922,300,1715600,2020,الجهاز المركزي للإحصاء العراقي,2020,🟡,نفط + متنازَع عليها (المادة 140)
IQ-HAL,العراق,حلبجة,حلبجة,حلبجة,—,حلبجة,حلبجة/هه‌ڵهبجه,محافظة+مدينة (إقليم كردستان),35.1786,46.1536,580,118000,2020,الجهاز المركزي للإحصاء العراقي,2020,🟢,استُحدثت 2014 (الـ19)
IQ-DYA,العراق,ديالى,بعقوبة,بعقوبة,—,بعقوبة,بعقوبة,محافظة+مدينة,33.7586,44.6015,140,1848000,2020,الجهاز المركزي للإحصاء العراقي,2020,🟢,حدود إيران + متنوعة
IQ-ANB,العراق,الأنبار,الرمادي,الرمادي,—,الرمادي,الرمادي/الدليم سابقًا,محافظة+مدينة,33.4222,43.3089,100,2091000,2020,الجهاز المركزي للإحصاء العراقي,2020,🟢,أكبر المحافظات مساحة (138501 كم²)؛ بادية
IQ-WAS,العراق,واسط,الكوت,الكوت,—,الكوت,الكوت,محافظة+مدينة,32.5164,45.8411,40,1360000,2020,الجهاز المركزي للإحصاء العراقي,2020,🟢,زراعية
IQ-BAB,العراق,بابل,الحلة,الحلة,—,الحلة,الحلة,محافظة+مدينة,32.4760,44.3397,30,2364700,2020,الجهاز المركزي للإحصاء العراقي,2020,🟢,آثار بابل (تراث يونسكو)
IQ-KRB,العراق,كربلاء,كربلاء,كربلاء,—,كربلاء,كربلاء,محافظة+مدينة مقدسة,32.6160,44.0290,30,1390300,2020,الجهاز المركزي للإحصاء العراقي,2020,🟢,مرقد الإمام الحسين + الأربعين
IQ-NAJ,العراق,النجف,النجف,النجف,—,النجف,النجف/الكوفة,محافظة+مدينة مقدسة,31.9910,44.3360,70,1496000,2020,الجهاز المركزي للإحصاء العراقي,2020,🟢,مرقد الإمام علي + حوزة علمية
IQ-QAD,العراق,القادسية/الديوانية,الديوانية,الديوانية,—,الديوانية,الديوانية,محافظة+مدينة,31.9820,44.9240,20,1320000,2020,الجهاز المركزي للإحصاء العراقي,2020,🟢,زراعية
