id,الدولة,الوحدة_الإدارية_العليا,المستوى_الثاني,المدينة_أو_القرية,الحي_أو_الحارة,الاسم_المحلي,الأسماء_البديلة,النوع,خط_العرض,خط_الطول,الارتفاع_م,السكان,سنة_السكان,المصدر,تاريخ_المصدر,درجة_الثقة,ملاحظات
MA-TTA,المغرب,طنجة تطوان الحسيمة,طنجة-أصيلة,طنجة,—,طنجة,طنجة,جهة+عمالة+مدينة,35.7595,-5.8340,20,3556729,2014,المندوبية السامية للتخطيط المغربية,2014,🟢,الشمال (المتوسط)؛ 2 عمالة + 5 أقالم
MA-ORIENT,المغرب,الشرق,وجدة-أنكاد,وجدة,—,وجدة,وجدة/الشرق,جهة+إقليم+مدينة,34.6867,-1.9114,460,2314346,2014,المندوبية السامية للتخطيط المغربية,2014,🟢,الشمال الشرقي؛ 1 عمالة + 7 أقاليم؛ حدود الجزائر
MA-FMK,المغرب,فاس مكناس,فاس,فاس,—,فاس,فاس/فاس مكناس,جهة+عمالة+مدينة,34.0181,-5.0078,410,4236892,2014,المندوبية السامية للتخطيط المغربية,2014,🟢,الوسط الداخلي؛ القرويين (859) + 2 عمالة + 7 أقاليم
MA-RSK,المغرب,الرباط سلا القنيطرة,الرباط,الرباط,—,الرباط,الرباط,جهة+عمالة+مدينة+عاصمة,34.0209,-6.8416,75,4580866,2014,المندوبية السامية للتخطيط المغربية,2014,🟢,العاصمة السياسية؛ 3 عمالات + 4 أقاليم
MA-BK,المغرب,بني ملال خنيفرة,بني ملال,بني ملال,—,بني ملال,بني ملال/بني ملال-خنيفرة,جهة+إقليم+مدينة,32.3373,-6.3498,470,2520776,2014,المندوبية السامية للتخطيط المغربية,2014,🟢,الأطلس المتوسط؛ 5 أقاليم؛ أمازيغ
MA-CAS,المغرب,الدار البيضاء سطات,الدار البيضاء,الدار البيضاء,—,الدار البيضاء,الدار البيضاء/كازا,جهة+عمالة+مدينة,33.5731,-7.5898,30,6861739,2014,المندوبية السامية للتخطيط المغربية,2014,🟢,العاصمة الاقتصادية + أكبر جهة سكانًا؛ 2 عمالة + 7 أقاليم
MA-MK,المغرب,مراكش آسفي,مراكش,مراكش,—,مراكش,مراكش,جهة+عمالة+مدينة,31.6295,-7.9811,466,4520569,2014,المندوبية السامية للتخطيط المغربية,2014,🟢,مراكش (تراث يونسكو) + 1 عمالة + 7 أقاليم
MA-DT,المغرب,درعة تافيلالت,الرشيدية,الرشيدية,—,الرشيدية,الرشيدية/درعة تافيلالت,جهة+إقليم+مدينة,31.9320,-4.4240,1370,1635008,2014,المندوبية السامية للتخطيط المغربية,2014,🟢,أكبر جهة مساحة (115592 كم²)؛ الواحات + 5 أقاليم
MA-SM,المغرب,سوس ماسة,أكادير إداوتنان,أكادير,—,أكادير,أكادير/سوس ماسة,جهة+عمالة+مدينة,30.4278,-9.5981,30,2676847,2014,المندوبية السامية للتخطيط المغربية,2014,🟢,الجنوب/سوس؛ أركان + تاشلحيت + 2 عمالة + 4 أقاليم
MA-KON,المغرب,كلميم واد نون,كلميم,كلميم,—,كلميم,كلميم,جهة+إقليم+مدينة,28.9860,-10.0567,300,433757,2014,المندوبية السامية للتخطيط المغربية,2014,🟡,الصحراء (الشمالية)؛ 4 أقاليم
MA-LS,المغرب,العيون الساقية الحمراء,العيون,العيون,—,العيون,العيون,جهة+إقليم+مدينة,26.8128,-13.1625,60,367758,2014,المندوبية السامية للتخطيط المغربية,2014,🟡,الصحراء (المتنازَع عليها)؛ 4 أقاليم؛ 🟡 نزاع البوليساريو
MA-DW,المغرب,الداخلة وادي الذهب,وادي الذهب,الداخلة,—,الداخلة,الداخلة/وادي الذهب,جهة+إقليم+مدينة,23.6848,-15.9580,20,142955,2014,المندوبية السامية للتخطيط المغربية,2014,🟡,الصحراء (الجنوبية المتنازَع عليها)؛ 2 إقليم
