id,الدولة,الوحدة_الإدارية_العليا,المستوى_الثاني,المدينة_أو_القرية,الحي_أو_الحارة,الاسم_المحلي,الأسماء_البديلة,النوع,خط_العرض,خط_الطول,الارتفاع_م,السكان,سنة_السكان,المصدر,تاريخ_المصدر,درجة_الثقة,ملاحظات
KM-G,جزر القمر,نجازيجيا,—,موروني,—,Ngazidja,Grande Comore / القمر الكبرى,جزيرة ذاتية الحكم,-11.7042,43.2402,30,379367,2017,INSEED RGPH 15 ديسمبر 2017 (citypopulation),2017,🟢,ISO KM-G؛ كارتالا ومطار هاهايا هنا؛ 379367 للجزيرة لا للمدينة (موروني 74749)
KM-A,جزر القمر,أنجوان,—,موتسامودو,—,Nzwani,Anjouan / نزواني,جزيرة ذاتية الحكم,-12.1667,44.3944,20,327382,2017,INSEED RGPH 15 ديسمبر 2017 (citypopulation),2017,🟢,ISO KM-A؛ انفصال 1997 ثم عودة 2001
KM-M,جزر القمر,موهيلي,—,فومبوني,—,Mwali,Mohéli / موالي,جزيرة ذاتية الحكم,-12.2800,43.7425,15,51567,2017,INSEED RGPH 15 ديسمبر 2017 (citypopulation),2017,🟢,ISO KM-M؛ المحمية البحرية هنا
YT,جزر القمر,مايوت,—,مامودزو,—,Maore,Mayotte / ماهوري,مطالبة/إدارة فرنسية,-12.7809,45.2279,20,—,2017,— (ليست في تعداد الاتحاد؛ ISO YT),2011/2017,🟠,سيطرة فرنسية منذ 2011 كإدارة 101؛ الاتحاد يطالب؛ ليست KM-MA
KM-01,جزر القمر,نجازيجيا,موروني-بامباو,—,—,موروني-بامباو,—,محافظة,,,,121236,2017,INSEED — التعداد العام RGPH 15 ديسمبر 2017,2017,🟢,116.0 كم²؛ العاصمة موروني؛ الكثافة 1045.1 ن/كم²؛ عاصمة الاتحاد؛ أكثف محافظات نجازيجيا
KM-02,جزر القمر,أنجوان,دوموني,—,—,دوموني,—,محافظة,,,,69904,2017,INSEED — التعداد العام RGPH 15 ديسمبر 2017,2017,🟢,127.0 كم²؛ العاصمة دوموني؛ الكثافة 550.4 ن/كم²
KM-03,جزر القمر,أنجوان,واني,—,—,واني,—,محافظة,,,,68885,2017,INSEED — التعداد العام RGPH 15 ديسمبر 2017,2017,🟢,"55.4 كم²؛ العاصمة واني؛ الكثافة 1243.4 ن/كم²؛ أكثف محافظة قمرية 1,243.4 ن/كم²"
KM-04,جزر القمر,أنجوان,مرماني,—,—,مرماني,—,محافظة,,,,65448,2017,INSEED — التعداد العام RGPH 15 ديسمبر 2017,2017,🟢,65.7 كم²؛ العاصمة مرماني؛ الكثافة 996.2 ن/كم²
KM-05,جزر القمر,أنجوان,موتسامودو,—,—,موتسامودو,—,محافظة,,,,63831,2017,INSEED — التعداد العام RGPH 15 ديسمبر 2017,2017,🟢,61.3 كم²؛ العاصمة موتسامودو؛ الكثافة 1041.3 ن/كم²؛ عاصمة جزيرة أنجوان
KM-06,جزر القمر,نجازيجيا,إتساندرا-هامانفو,—,—,إتساندرا-هامانفو,—,محافظة,,,,57335,2017,INSEED — التعداد العام RGPH 15 ديسمبر 2017,2017,🟢,168.0 كم²؛ العاصمة نتسودجيني؛ الكثافة 341.3 ن/كم²
