id,الدولة,الوحدة_الإدارية_العليا,المستوى_الثاني,المدينة_أو_القرية,الحي_أو_الحارة,الاسم_المحلي,الأسماء_البديلة,النوع,خط_العرض,خط_الطول,الارتفاع_م,السكان,سنة_السكان,المصدر,تاريخ_المصدر,درجة_الثقة,ملاحظات
PS-JER,فلسطين,القدس,—,القدس,—,القدس,القدس الشريف/أورشليم,محافظة+مدينة+عاصمة,31.7683,35.2137,754,435753,2017,الجهاز المركزي للإحصاء الفلسطيني,2017,🟡,العاصمة المعلَنة (محتلة 1967)
PS-RBH,فلسطين,رام الله والبيرة,—,رام الله/البيرة,—,رام الله,رام الله والبيرة,محافظة+مدينة,31.9038,35.2034,880,328861,2017,الجهاز المركزي للإحصاء الفلسطيني,2017,🟢,المركز الإداري الفعلي للسلطة
PS-BTH,فلسطين,بيت لحم,—,بيت لحم,—,بيت لحم,بيت لحم/إفرات,محافظة+مدينة,31.7054,35.2024,775,217400,2017,الجهاز المركزي للإحصاء الفلسطيني,2017,🟢,كنيسة المهد (تراث يونسكو)
PS-JRH,فلسطين,أريحا والأغوار,—,أريحا,—,أريحا,أريحا/أريحا والأغوار,محافظة+مدينة,31.8667,35.4500,-260,50002,2017,الجهاز المركزي للإحصاء الفلسطيني,2017,🟢,أقدم مدينة مأهولة (9000 ق.م) + غور
PS-NBL,فلسطين,نابلس,—,نابلس,—,نابلس,نابلس/الجبل النار,محافظة+مدينة,32.2211,35.2811,550,388321,2017,الجهاز المركزي للإحصاء الفلسطيني,2017,🟢,الكنافة النابلسية + جبال جرزيم/عيبال
PS-QLQ,فلسطين,قلقيلية,—,قلقيلية,—,قلقيلية,قلقيلية,محافظة+مدينة,32.1942,34.9817,60,112400,2017,الجهاز المركزي للإحصاء الفلسطيني,2017,🟢,أصغر محافظات الضفة مساحة (165 كم²)
PS-TKM,فلسطين,طولكرم,—,طولكرم,—,طولكرم,طولكرم,محافظة+مدينة,32.4939,35.0289,80,186760,2017,الجهاز المركزي للإحصاء الفلسطيني,2017,🟢,سهل ساحلي + زيتون
PS-SLF,فلسطين,سلفيت,—,سلفيت,—,سلفيت,سلفيت,محافظة+مدينة,32.0833,35.1833,500,75444,2017,الجهاز المركزي للإحصاء الفلسطيني,2017,🟢,مرتفعات + زيتون
PS-JEN,فلسطين,جنين,—,جنين,—,جنين,جنين,محافظة+مدينة,32.4564,35.2958,170,314866,2017,الجهاز المركزي للإحصاء الفلسطيني,2017,🟢,شمال الضفة + المسخن + سهل
PS-TUB,فلسطين,طوباس والأغوار الشمالية,—,طوباس,—,طوباس,طوباس,محافظة+مدينة,32.3314,35.3700,300,60927,2017,الجهاز المركزي للإحصاء الفلسطيني,2017,🟢,الأغوار الشمالية
