id,الدولة,الوحدة_الإدارية_العليا,المستوى_الثاني,المدينة_أو_القرية,الحي_أو_الحارة,الاسم_المحلي,الأسماء_البديلة,النوع,خط_العرض,خط_الطول,الارتفاع_م,السكان,سنة_السكان,المصدر,تاريخ_المصدر,درجة_الثقة,ملاحظات
LB-BA,لبنان,بيروت,—,بيروت,—,بيروت,بيريتوس,محافظة+مدينة+عاصمة,33.8938,35.5018,10,419000,2022,citypopulation/ويكيبيديا عن تقديرات لا تعداد,2022,🟡,بلا أقضية؛ مساحة ~18–19.8 كم²؛ الضاحية وبرج حمود خارجها
LB-JL,لبنان,جبل لبنان,بعبدا,بعبدا,—,بعبدا,جبل لبنان,محافظة,33.8339,35.5442,300,1531000,2022,citypopulation 2022 (بعد فصل كسروان–جبيل),2022,🟡,4 أقضية فقط بعد 2017: بعبدا/المتن/عاليه/الشوف
LB-AS,لبنان,لبنان الشمالي,طرابلس,طرابلس,—,طرابلس,الفيحاء,محافظة+مدينة,34.4367,35.8497,10,803000,2022,citypopulation 2022,2022,🟡,6 أقضية؛ قاديشا وأرز بشري والقرنة السوداء هنا لا جبل لبنان
LB-JA,لبنان,لبنان الجنوبي,صيدا,صيدا,—,صيدا,صيدون,محافظة+مدينة,33.5631,35.3689,10,602000,2022,citypopulation 2022,2022,🟡,3 أقضية؛ CSV القديم 58475 كان المدينة لا المحافظة
LB-BI,لبنان,البقاع,زحلة,زحلة,—,زحلة,البقاع,محافظة+مدينة,33.8463,35.9020,900,540000,2022,citypopulation 2022,2022,🟡,3 أقضية بعد فصل بعلبك–الهرمل؛ عنجر هنا
LB-NA,لبنان,النبطية,النبطية,النبطية,—,النبطية,جبل عامل,محافظة+مدينة,33.3770,35.4839,400,391000,2022,citypopulation 2022,2022,🟡,4 أقضية؛ الشقيف هنا لا الجنوب
LB-BH,لبنان,بعلبك-الهرمل,بعلبك,بعلبك,—,بعلبك,هيليوبوليس,محافظة+مدينة,34.0069,36.2039,1150,472000,2022,citypopulation 2022,2022,🟡,أكبر مساحة 3009 كم²؛ المعابد هنا لا البقاع
LB-AK,لبنان,عكار,عكار,حلبا,—,حلبا,عكار,محافظة+قضاء,34.5428,36.0797,180,432000,2022,citypopulation 2022,2022,🟡,قضاء واحد؛ CSV القديم 819462 مبالغ فيه
LB-KJ,لبنان,كسروان-جبيل,جونيه,جونيه,—,جونيه,كسروان الفتوح وجبيل,محافظة+مدينة,33.9808,35.6178,50,300000,2022,citypopulation 2022,2022,🟡,قانون 52/2017؛ جبيل وجعيتا وبكركي هنا
LB-01,لبنان,بيروت,بيروت,—,—,بيروت,—,قضاء,,,,433249,—,وزارة الداخلية والبلديات اللبنانية / localiban,2014,🟡,19.6 كم²؛ الأغلبية: السنة؛ 12 بلدة وبلدية واحدة؛ المحافظة غير المقسمة؛ ⚠️ لا تعداد في لبنان منذ 1932 — كل الأرقام تقديرات
LB-02,لبنان,جبل لبنان,بعبدا,—,—,بعبدا,—,قضاء,,,,568714,—,وزارة الداخلية والبلديات اللبنانية / localiban,2014,🟡,"194.3 كم²؛ الأغلبية: الموارنة؛ الضاحية الجنوبية؛ أكثف الأقضية 2,927 ن/كم²؛ ⚠️ لا تعداد في لبنان منذ 1932 — كل الأرقام تقديرات"
LB-03,لبنان,جبل لبنان,المتن,—,—,المتن,—,قضاء,,,,523593,—,وزارة الداخلية والبلديات اللبنانية / localiban,2014,🟡,263.2 كم²؛ الأغلبية: الموارنة؛ ⚠️ لا تعداد في لبنان منذ 1932 — كل الأرقام تقديرات
LB-04,لبنان,جبل لبنان,الشوف,—,—,الشوف,—,قضاء,,,,231427,—,وزارة الداخلية والبلديات اللبنانية / localiban,2014,🟡,481.2 كم²؛ أوسع أقضية جبل لبنان؛ دروز وموارنة وسنة؛ ⚠️ لا تعداد في لبنان منذ 1932 — كل الأرقام تقديرات
LB-05,لبنان,جبل لبنان,جبيل,—,—,جبيل,—,قضاء,,,,99388,—,وزارة الداخلية والبلديات اللبنانية / localiban,2014,🟡,430.2 كم²؛ الأغلبية: الموارنة؛ جبيل/بيبلوس — يونسكو 1984؛ ⚠️ لا تعداد في لبنان منذ 1932 — كل الأرقام تقديرات
LB-06,لبنان,جبل لبنان,عاليه,—,—,عاليه,—,قضاء,,,,196282,—,وزارة الداخلية والبلديات اللبنانية / localiban,2014,🟡,263.7 كم²؛ دروز وموارنة؛ ⚠️ لا تعداد في لبنان منذ 1932 — كل الأرقام تقديرات
LB-07,لبنان,جبل لبنان,كسروان,—,—,كسروان,—,قضاء,,,,182834,—,وزارة الداخلية والبلديات اللبنانية / localiban,2014,🟡,335.7 كم²؛ الأغلبية: الموارنة؛ محافظة كسروان-جبيل بالقانون 52/2017 بلا مراسيم تطبيقية؛ ⚠️ لا تعداد في لبنان منذ 1932 — كل الأرقام تقديرات
LB-08,لبنان,الشمال,طرابلس,—,—,طرابلس,—,قضاء,,,,,—,وزارة الداخلية والبلديات اللبنانية / localiban,2014,🟡,الأغلبية: السنة؛ ثاني مدن لبنان؛ اتحاد الفيحاء؛ ⚠️ لا تعداد في لبنان منذ 1932 — كل الأرقام تقديرات
LB-09,لبنان,الشمال,زغرتا – الزاوية,—,—,زغرتا – الزاوية,—,قضاء,,,,,—,وزارة الداخلية والبلديات اللبنانية / localiban,2014,🟡,الأغلبية: الموارنة؛ ⚠️ لا تعداد في لبنان منذ 1932 — كل الأرقام تقديرات
LB-10,لبنان,الشمال,بشري,—,—,بشري,—,قضاء,,,,,—,وزارة الداخلية والبلديات اللبنانية / localiban,2014,🟡,الأغلبية: الموارنة؛ وادي قاديشا وغابة أرز الرب — يونسكو 1998؛ ⚠️ لا تعداد في لبنان منذ 1932 — كل الأرقام تقديرات
LB-11,لبنان,الشمال,البترون,—,—,البترون,—,قضاء,,,,,—,وزارة الداخلية والبلديات اللبنانية / localiban,2014,🟡,الأغلبية: الموارنة؛ ⚠️ لا تعداد في لبنان منذ 1932 — كل الأرقام تقديرات
LB-12,لبنان,الشمال,الكورة,—,—,الكورة,—,قضاء,,,,,—,وزارة الداخلية والبلديات اللبنانية / localiban,2014,🟡,الأغلبية: الأرثوذكس؛ ⚠️ لا تعداد في لبنان منذ 1932 — كل الأرقام تقديرات
LB-13,لبنان,الشمال,المنية – الضنية,—,—,المنية – الضنية,—,قضاء,,,,,—,وزارة الداخلية والبلديات اللبنانية / localiban,2014,🟡,الأغلبية: السنة؛ ⚠️ لا تعداد في لبنان منذ 1932 — كل الأرقام تقديرات
LB-14,لبنان,عكار,عكار,—,—,عكار,—,قضاء,,,,,—,وزارة الداخلية والبلديات اللبنانية / localiban,2014,🟡,الأغلبية: السنة؛ المحافظة الوحيدة عربيًا بقضاء واحد؛ ⚠️ لا تعداد في لبنان منذ 1932 — كل الأرقام تقديرات
LB-15,لبنان,بعلبك – الهرمل,بعلبك,—,—,بعلبك,—,قضاء,,,,,—,وزارة الداخلية والبلديات اللبنانية / localiban,2014,🟡,الأغلبية: الشيعة؛ بعلبك — يونسكو 1984؛ ⚠️ لا تعداد في لبنان منذ 1932 — كل الأرقام تقديرات
LB-16,لبنان,بعلبك – الهرمل,الهرمل,—,—,الهرمل,—,قضاء,,,,,—,وزارة الداخلية والبلديات اللبنانية / localiban,2014,🟡,الأغلبية: الشيعة؛ ⚠️ لا تعداد في لبنان منذ 1932 — كل الأرقام تقديرات
LB-17,لبنان,البقاع,زحلة,—,—,زحلة,—,قضاء,,,,,—,وزارة الداخلية والبلديات اللبنانية / localiban,2014,🟡,الأغلبية: الكاثوليك؛ عاصمة البقاع؛ عنجر — يونسكو 1984؛ ⚠️ لا تعداد في لبنان منذ 1932 — كل الأرقام تقديرات
LB-18,لبنان,البقاع,البقاع الغربي,—,—,البقاع الغربي,—,قضاء,,,,,—,وزارة الداخلية والبلديات اللبنانية / localiban,2014,🟡,⚠️ لا تعداد في لبنان منذ 1932 — كل الأرقام تقديرات
LB-19,لبنان,البقاع,راشيا,—,—,راشيا,—,قضاء,,,,,—,وزارة الداخلية والبلديات اللبنانية / localiban,2014,🟡,الأغلبية: الدروز؛ ⚠️ لا تعداد في لبنان منذ 1932 — كل الأرقام تقديرات
LB-20,لبنان,الجنوب,صيدا,—,—,صيدا,—,قضاء,,,,,—,وزارة الداخلية والبلديات اللبنانية / localiban,2014,🟡,الأغلبية: السنة؛ صيدا التاريخية؛ ⚠️ لا تعداد في لبنان منذ 1932 — كل الأرقام تقديرات
LB-21,لبنان,الجنوب,صور,—,—,صور,—,قضاء,,,,,—,وزارة الداخلية والبلديات اللبنانية / localiban,2014,🟡,الأغلبية: الشيعة؛ صور — يونسكو 1984؛ ⚠️ لا تعداد في لبنان منذ 1932 — كل الأرقام تقديرات
LB-22,لبنان,الجنوب,جزين,—,—,جزين,—,قضاء,,,,,—,وزارة الداخلية والبلديات اللبنانية / localiban,2014,🟡,الأغلبية: الموارنة؛ ⚠️ لا تعداد في لبنان منذ 1932 — كل الأرقام تقديرات
LB-23,لبنان,النبطية,النبطية,—,—,النبطية,—,قضاء,,,,,—,وزارة الداخلية والبلديات اللبنانية / localiban,2014,🟡,الأغلبية: الشيعة؛ إقليم التفاح؛ قلعة الشقيف؛ ⚠️ لا تعداد في لبنان منذ 1932 — كل الأرقام تقديرات
LB-24,لبنان,النبطية,مرجعيون,—,—,مرجعيون,—,قضاء,,,,,—,وزارة الداخلية والبلديات اللبنانية / localiban,2014,🟡,جبل عامل؛ ⚠️ لا تعداد في لبنان منذ 1932 — كل الأرقام تقديرات
LB-25,لبنان,النبطية,بنت جبيل,—,—,بنت جبيل,—,قضاء,,,,,—,وزارة الداخلية والبلديات اللبنانية / localiban,2014,🟡,الأغلبية: الشيعة؛ حدودي؛ ⚠️ لا تعداد في لبنان منذ 1932 — كل الأرقام تقديرات
