id,الدولة,الوحدة_الإدارية_العليا,المستوى_الثاني,المدينة_أو_القرية,الحي_أو_الحارة,الاسم_المحلي,الأسماء_البديلة,النوع,خط_العرض,خط_الطول,الارتفاع_م,السكان,سنة_السكان,المصدر,تاريخ_المصدر,درجة_الثقة,ملاحظات
MR-07,موريتانيا,أدرار,—,أطار,—,أدرار,Adrar / أطار,ولاية,20.5169,-13.0499,220,62658,2013,ONS RGPH 2013 (2023: 71623 🟡 citypopulation),2013/2023,🟢,يونسكو شنقيط ووادان؛ ليست أدرار الجزائر
MR-03,موريتانيا,لعصابة,—,كيفة,—,لعصابة,Assaba / العصابة,ولاية,16.6167,-11.4044,120,325897,2013,ONS RGPH 2013 (2023: 451804 🟡 citypopulation),2013/2023,🟢,كيفة لا كيهيدي
MR-05,موريتانيا,البراكنة,—,ألاك,—,البراكنة,Brakna / لبراكنة,ولاية,17.0481,-13.9164,40,312277,2013,ONS RGPH 2013 (2023: 391310 🟡 citypopulation),2013/2023,🟢,ألاك؛ زراعة النهر
MR-08,موريتانيا,داخلة نواذيبو,—,نواذيبو,—,داخلة نواذيبو,Dakhlet Nouadhibou / داخلت نواذيبو,ولاية,20.9310,-17.0347,8,123779,2013,ONS RGPH 2013 (2023: 184459 🟡 citypopulation),2013/2023,🟢,بنك أرغان؛ ليست الداخلة المغربية
MR-04,موريتانيا,كوركول,—,كيهيدي,—,كوركول,Gorgol / كركول,ولاية,16.1503,-13.5033,20,335917,2013,ONS RGPH 2013 (2023: 442490 🟡 citypopulation),2013/2023,🟢,كيهيدي لا كيفة
MR-10,موريتانيا,غيديماغا,—,سيليبابي,—,غيديماغا,Guidimaka / كيدي ماغا,ولاية,15.1585,-12.1833,60,267029,2013,ONS RGPH 2013 (2023: 363075 🟡 citypopulation),2013/2023,🟢,سيليبابي؛ أصغر مساحة خارج العاصمة
MR-01,موريتانيا,الحوض الشرقي,—,النعمة,—,الحوض الشرقي,Hodh Ech Chargui / الحوض الشرقي,ولاية,16.6167,-7.2564,280,430668,2013,ONS RGPH 2013 (2023: 625643 🟡 citypopulation),2013/2023,🟢,ولاته وكمبي صالح؛ أكثر سكانًا 2023 بعد ولايات العاصمة
MR-02,موريتانيا,الحوض الغربي,—,عيون العتروس,—,الحوض الغربي,Hodh El Gharbi / لعيون,ولاية,16.6614,-9.6147,260,294109,2013,ONS RGPH 2013 (2023: 403091 🟡 citypopulation),2013/2023,🟢,ليست العيون المغربية
MR-12,موريتانيا,إينشيري,—,أكجوجت,—,إينشيري,Inchiri / إنشيري,ولاية,19.7469,-14.3853,120,19639,2013,ONS RGPH 2013 (2023: 29484 🟡 citypopulation),2013/2023,🟢,2013=19639 لا 11500؛ شنقيط ليست هنا
MR-14,موريتانيا,نواكشوط الشمالية,—,دار النعيم,—,نواكشوط الشمالية,Nouakchott-Nord / Dar-Naim,ولاية+عاصمة,18.1000,-15.9167,7,366912,2013,ONS RGPH 2013 (2023: 614465 🟡 citypopulation),2013/2023,🟢,2014 من ولاية نواكشوط
MR-13,موريتانيا,نواكشوط الغربية,—,تفرغ زينة,—,نواكشوط الغربية,Nouakchott-Ouest / Tevragh-Zeina,ولاية+عاصمة,18.1000,-15.9833,7,165814,2013,ONS RGPH 2013 (2023: 204881 🟡 citypopulation),2013/2023,🟢,أصغر مساحة؛ 2014
MR-15,موريتانيا,نواكشوط الجنوبية,—,عرفات,—,نواكشوط الجنوبية,Nouakchott-Sud / Arafat,ولاية+عاصمة,18.0500,-15.9667,7,425673,2013,ONS RGPH 2013 (2023: 627415 🟡 citypopulation),2013/2023,🟢,أكثر سكانًا 2023؛ بلدية الميناء هنا
MR-09,موريتانيا,تكانت,—,تجكجة,—,تكانت,Tagant / تجكجة,ولاية,18.5564,-11.4271,400,80962,2013,ONS RGPH 2013 (2023: 114760 🟡 citypopulation),2013/2023,🟢,تيشيت هنا
MR-11,موريتانيا,تيرس زمور,—,الزويرات,—,تيرس زمور,Tiris Zemmour / Zouérat / ازويرات,ولاية,22.7344,-12.4722,360,53261,2013,ONS RGPH 2013 (2023: 79129 🟡 citypopulation),2013/2023,🟢,أكبر مساحة؛ العاصمة الزويرات لا افديرك
MR-06,موريتانيا,الترارزة,—,روصو,—,الترارزة,Trarza / الترارزه,ولاية,16.5128,-15.8050,8,272773,2013,ONS RGPH 2013 (2023: 323903 🟡 citypopulation),2013/2023,🟢,روصو ودياوالينغ؛ ليست نواكشوط
MR-W-الحوض ,موريتانيا,الحوض الشرقي,—,—,—,الحوض الشرقي,—,ولاية,,,,625643,2023,المكتب الوطني للإحصاء الموريتاني / وزارة الداخلية واللامركزية,2023,🟢,182700 كم²؛ العاصمة النعمة؛ 6 مقاطعة؛ الكثافة 3.42 ن/كم²
MR-01-LEGACY-DUP-02,موريتانيا,الحوض الشرقي,امورج,—,—,امورج,—,مقاطعة,,,,,,المكتب الوطني للإحصاء الموريتاني / وزارة الداخلية واللامركزية,2023,🟢,
MR-02-LEGACY-DUP-02,موريتانيا,الحوض الشرقي,باسكنو,—,—,باسكنو,—,مقاطعة,,,,,,المكتب الوطني للإحصاء الموريتاني / وزارة الداخلية واللامركزية,2023,🟢,
MR-03-LEGACY-DUP-02,موريتانيا,الحوض الشرقي,جكني,—,—,جكني,—,مقاطعة,,,,,,المكتب الوطني للإحصاء الموريتاني / وزارة الداخلية واللامركزية,2023,🟢,
